group_1,group_2,n_1,n_2,median_1,median_2,median_diff_1_minus_2,u_statistic,p_value,p_adj_holm,reject_0.05,sig
경남,경북,82,79,10.102374139647317,10.130901970700984,-0.028527831053667185,3300.5,0.8365770538905366,1.0,False,n.s.
경남,광주,82,26,10.102374139647317,9.100477678276986,1.0018964613703307,1423.5,0.010305873316714396,1.0,False,n.s.
강원특별자치도,대전,94,18,9.77033365003001,9.629613969350121,0.14071968067988827,822.0,0.8523048646038547,1.0,False,n.s.
강원,세종특별자치시,17,5,9.62476522145582,9.356170820187725,0.2685944012680963,46.0,0.8200805042910305,1.0,False,n.s.
강원,울산,17,11,9.62476522145582,10.452793230619966,-0.8280280091641448,43.0,0.018671821319051828,1.0,False,n.s.
강원,인천,17,36,9.62476522145582,10.281883314102501,-0.6571180926466802,268.0,0.4748523824272174,1.0,False,n.s.
강원,전남,17,101,9.62476522145582,9.6067647354322,0.018000486023620255,857.5,0.9969426346300236,1.0,False,n.s.
강원,전북,17,20,9.62476522145582,9.416350056279093,0.20841516517672787,189.5,0.5625119029970567,1.0,False,n.s.
강원,대전,17,18,9.62476522145582,9.629613969350121,-0.0048487478943002316,140.0,0.6799279308955285,1.0,False,n.s.
강원,경북,17,79,9.62476522145582,10.130901970700984,-0.5061367492451634,584.5,0.4064223938833461,1.0,False,n.s.
경남,전남,82,101,10.102374139647317,9.6067647354322,0.49560940421511646,4810.0,0.060664042772260056,1.0,False,n.s.
경남,인천,82,36,10.102374139647317,10.281883314102501,-0.179509174455184,1541.5,0.7040156206378343,1.0,False,n.s.
경남,울산,82,11,10.102374139647317,10.452793230619966,-0.35041909097264856,306.0,0.0856021072050804,1.0,False,n.s.
경남,세종특별자치시,82,5,10.102374139647317,9.356170820187725,0.7462033194595925,253.0,0.3863424720323111,1.0,False,n.s.
경남,서울,82,172,10.102374139647317,9.60580548123146,0.49656865841585685,7713.5,0.22727661559816548,1.0,False,n.s.
경남,부산,82,35,10.102374139647317,9.771726021353874,0.33064811829344265,1516.0,0.6318053368003229,1.0,False,n.s.
경남,대전,82,18,10.102374139647317,9.629613969350121,0.47276017029719597,775.0,0.7433070667626757,1.0,False,n.s.
경남,충남,82,70,10.102374139647317,9.848306928283193,0.2540672113641236,3036.0,0.5406883083749687,1.0,False,n.s.
경북,대전,79,18,10.130901970700984,9.629613969350121,0.5012880013508632,727.5,0.8819686451991757,1.0,False,n.s.
경북,부산,79,35,10.130901970700984,9.771726021353874,0.35917594934710984,1429.5,0.7751388386697833,1.0,False,n.s.
경북,서울,79,172,10.130901970700984,9.60580548123146,0.525096489469524,7270.5,0.37288022566281,1.0,False,n.s.
경북,세종특별자치시,79,5,10.130901970700984,9.356170820187725,0.7747311505132597,230.0,0.545198050591981,1.0,False,n.s.
경북,울산,79,11,10.130901970700984,10.452793230619966,-0.3218912599189814,291.0,0.07814337682509104,1.0,False,n.s.
경남,전북,82,20,10.102374139647317,9.416350056279093,0.6860240833682241,1051.5,0.051532863059845294,1.0,False,n.s.
경남,전북특별자치도,82,38,10.102374139647317,10.471695434556045,-0.3693212949087279,1393.5,0.3548519725824628,1.0,False,n.s.
경남,제주,82,20,10.102374139647317,10.568130553046787,-0.46575641339947005,676.0,0.2264736523461227,1.0,False,n.s.
경북,전북,79,20,10.130901970700984,9.416350056279093,0.7145519144218913,977.5,0.10316487828108026,1.0,False,n.s.
